uae_tweet_cleaned,translation_status,msa_translation
ولا علينا من حد ياخوي,verified,لا يهمنا من أحد يا أخي.
هه عيشي حياتج الخوف حلو تراه هه,verified,عَيِّشي حياتِكِ بِلا خَوفٍ، فَهو حلوٌ حقًا، صَدقيني.
ما شاء الله وهذا هو ع قولتك غلط وضياع جي لعبك,verified,ما شاء الله، وهذا هو بناءً على قولك غير صحيح وضياع جزءٍ كبير من لعبتك.
مبروك لجمهور الشارجه الدوري تستاهلون الفرحه,verified,تهانينا لجمهور الشارجة بفوزهم بالدوري، أنتم تستحقون الفرحة.
ونعم وسبع انعام بيض الله ويهك يا ولد الصباح,verified,ونعم وسبعة أنعام بيض الله ويهنئك يا ولد الصباح.
انتي ليش مب راقده,verified,أنتِ لماذا لم تنمي؟
حاليا ويا الصديج مروان في متجر الزري الكائن في متجار الشارقه,verified,حالياً مع الصديق مروان في متجر الزري الواقع في منطقة الشارقة.
يوم وصلت الجامعه خلصوا دعاياتهم و الغنيه مب حلوه شكرا الخليجيه,verified,عندما وصلت إلى الجامعة، انتهوا من دعاياتهم والأغنية لم تكن جميلة. شكرا للخليجيين.
فديئيئيتج ماي سيس يارروحي,verified,فديتك يا سيدي يا روحي
الشارجه ولا بوظبي و السبب بوظبي احب الحياه هناك مدينه حق دراسه و عمل و السبب الثاني التغير اني ما اعيش في ر,verified,الشارقة أو أبوظبي و السبب أبوظبي، أحب الحياة هناك، مدينة مناسبة للدراسة والعمل، والسبب الثاني التغيير هو أنني لا أعيش في ر.
صح لسانك انت مبدع ومبدع ومبدع لا هنت اخوي تسلم ومن ذوقك,verified,صح لسانك، أنت مبدع جداً. لا هنت يا أخي، تسلم ومن ذوقك.
شو جيه كانو الكندي كيف قدر يصورهن فالمول بعوراتهن و المول فيه قانون احتشام الخبر,verified,ماذا يحدث؟ كيف تمكن الشخص الكندي من تصويرهن في المول بملابس غير لائقة، والمول يحتوي على قانون الاحتشام والكرامة.
شعارنا في الامارات تطيح الغتر و الروس بس العلم طاح,verified,شعارنا في الإمارات يتعلق بإزالة الغترة والروس، ولكن العلم سقط.
اليابان ارسلت ابناء المدارس للبرازيل واوروبا وما ارسلت لاعبين منتخب اول وبعقود اعاره وبعد شهور وراهم بطوله كاس عالم,verified,أرسلت اليابان أبناء المدارس إلى البرازيل وأوروبا، ولم ترسل لاعبين منتخبها الأول، بل أرسلتهم بعقود إعارة، وبعد شهور تلاها بطولة كأس العالم.
دامك اماراتي وبالمجد مشهور ما تصعب الاحلام والعزم باسك الامارات العراق,verified,بما أنك إماراتي ومشهور بالمجد، لا تجعل الأحلام والعزيمة تصعبان عليك كما فعل الإمارات في العراق.
العين ما يشبع بطولات والزعيم لو يدخل بالرديف يبقي مرشح لانه العين فقط,verified,العين لا تشبع من البطولات، وإذا قام الزعيم بدخول الرديف، فإنه يبقى مرشحًا لأنه العين فقط.
الله يبارك فييج وعقبالج ياارب,verified, الله يبارك فيكِ وعقبالك يا رب
شو جيه كانو الكندي شو رايكم في تطرف الزوجه و هل من حق الزوجه وضع اختبارات لاختبار وفاء الزوج,verified,ماذا تعتقدون عن تطرف الزوجة وهل للزوجة حق تقديم اختبارات لاختبار وفاء الزوج؟
احسن من جمهور حلوه لعيبتنا حلوه وصلاوي مصصخره,verified,أفضل من الجميع، حلوتنا جميلة وعيبتنا جميلة وصلاوي مدهشة.
الانسان الي في هذه المحادثه كان يدرسني في اول سنه لي في كليه الهندسه وكان يكرهني موت ودايما كان يهزاني جدام الكل ويقول انت ف,verified,"الشخص الذي في هذه المحادثة كان يُدَرِّسُني في السنة الأولى لي في كلية الهندسة، وكان يكرهني كثيرًا وكان دائمًا يُسَخِّرُ مني أمام الجميع ويقول ""أنت ف..."""
الصراحه ماشفت انميشن رهيب مثل انميشن ون بانش مان,verified,بصراحة لم أرَ رسوم متحركة رائعة مثل رسوم متحركة ون بانش مان.
